Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
233,0,6.96185,6.18848,-70.4132,7012.53,238.753,518.62,-495.609,-99.5925,0
234,0,6.86634,6.0165,-70.8797,6979.28,232.328,492.41,-495.722,-98.4659,0
235,0,7.00322,5.90538,-70.7714,6903.81,238.03,452.989,-495.637,-97.5515,0
236,0,7.08461,6.12786,-70.7423,7036.13,226.819,504.841,-495.794,-99.4617,0
237,0,7.08506,6.05253,-70.8577,6948.02,249.638,540.367,-495.477,-98.0567,0
238,0,6.89481,5.94746,-70.847,6873.82,277.077,550.313,-495.09,-97.0232,0
239,0,7.00022,6.05895,-70.5416,6846.06,260.654,561.812,-495.305,-97.049,0
240,0,7.05065,6.27025,-70.7768,6946.64,268.467,570.821,-495.206,-98.1523,0
241,0,7.14384,6.29122,-70.3918,7037.14,275.111,533.698,-495.091,-99.971,0
242,0,7.20516,6.20937,-70.5547,7038.37,223.72,553.447,-495.829,-99.7579,0
243,0,7.30549,6.03832,-70.6593,6946.6,253.267,559.567,-495.416,-98.3118,0
244,0,7.38148,6.01094,-70.7763,6922.94,292.308,661.132,-494.87,-97.8149,0
245,0,7.37543,6.08559,-70.7335,6988.11,246.917,609.723,-495.509,-98.7953,0
246,0,7.28216,5.83045,-70.6882,6868.23,244.879,574.897,-495.535,-97.1618,0
247,0,7.11508,5.72809,-70.4416,6812.45,289.978,548.824,-494.884,-96.7107,0
248,0,7.0203,5.94055,-70.581,6842.09,314.862,515.911,-494.539,-96.9399,0
249,0,7.0609,6.01558,-70.4423,6943.48,254.669,488.825,-495.385,-98.5715,0
250,0,7.04163,6.17447,-70.4094,7011.67,241.371,444.018,-495.572,-99.5892,0
251,0,7.05018,5.97447,-70.8486,6892.01,245.946,499.205,-495.528,-97.2776,0
252,0,7.04644,6.00244,-70.6337,6870.75,259.598,477.787,-495.325,-97.2746,0
253,0,7.06667,6.25586,-70.4375,6982.67,258.865,467.542,-495.325,-99.1328,0
254,0,7.23462,6.23016,-70.4619,7003.24,259.319,498.923,-495.32,-99.3905,0
255,0,7.07303,6.21205,-70.6298,6971.75,277.022,536.03,-495.078,-98.7099,0
256,0,6.81271,6.17752,-70.796,6895.53,278.911,505.75,-495.061,-97.3993,0
257,0,6.71558,6.25006,-70.4873,6858.67,272.032,509.32,-495.141,-97.3032,0
258,0,6.76643,6.16246,-70.5304,6945.36,275.515,553.488,-495.094,-98.4743,0
259,0,6.95439,6.35043,-70.3241,7000.07,252.426,500.022,-495.411,-99.5395,0
260,0,6.83533,6.41343,-70.5752,7029.08,273.626,509.154,-495.123,-99.5976,0
261,0,6.65497,6.18634,-70.6026,6896.98,255.439,522.646,-495.382,-97.6873,0
262,0,6.76475,6.18932,-70.5566,6896.7,252.768,471.03,-495.417,-97.7469,0
263,0,7.0083,6.1417,-70.6669,6925.14,219.458,414.453,-495.895,-97.9974,0
264,0,6.76094,6.04381,-70.7385,6927.51,257.59,468.493,-495.359,-97.9329,0
265,0,6.95752,6.23787,-70.5585,6987.2,229.753,489.713,-495.744,-99.0276,0
266,0,6.65271,6.15205,-70.5277,6846.61,250.94,469.169,-495.442,-97.0766,0
267,0,6.62834,6.48318,-70.287,6862.36,246.62,558.655,-495.491,-97.6324,0
268,0,6.88343,6.51066,-70.4129,7010.21,253.937,596.572,-495.394,-99.5595,0
269,0,6.87141,6.13143,-70.5283,6907.69,327.568,545.55,-494.356,-97.9422,0
270,0,6.65724,6.17815,-70.5332,6910.56,296.397,504.944,-494.798,-97.976,0
271,0,6.82906,6.19516,-70.4847,6946.31,273.844,522.184,-495.115,-98.5493,0
272,0,6.89892,6.12835,-70.3766,6853.34,290.423,489.426,-494.873,-97.3795,0
273,0,7.07443,6.38121,-70.6128,6981.92,254.103,495.903,-495.401,-98.877,0
274,0,7.12212,6.20949,-70.6981,6930.74,248.427,518.503,-495.485,-98.0336,0
275,0,7.06171,6.41645,-70.3739,6929.42,263.461,508.282,-495.256,-98.4658,0
276,0,7.06128,6.2495,-70.5306,6919.77,236.145,450.151,-495.653,-98.1118,0
277,0,6.95616,6.01806,-70.7077,6867.06,280.041,478.208,-495.04,-97.12,0
278,0,7.10575,6.2179,-70.5276,6908.67,258.073,568.805,-495.34,-97.9568,0
279,0,7.08005,6.48036,-70.8854,6952.93,230.912,595.415,-495.743,-98.0869,0
280,0,6.9751,6.42618,-70.9364,6978.65,297.673,568.327,-494.805,-98.3795,0
281,0,7.19293,6.20115,-70.6241,6943.93,251.176,495.504,-495.443,-98.3222,0
282,0,7.19376,5.87787,-70.5714,6856.98,283.45,494.87,-494.984,-97.1638,0
283,0,7.19497,6.19341,-70.5244,6889.76,255.74,461.176,-495.374,-97.6933,0
284,0,6.95938,6.04662,-70.5417,6882.19,275.222,534.186,-495.099,-97.5625,0
285,0,6.92428,6.19644,-70.6259,6836.93,299.019,479.786,-494.766,-96.8047,0
286,0,7.03738,6.2802,-70.7508,6960.63,236.941,532.082,-495.651,-98.3843,0
287,0,6.84263,5.87071,-70.941,6889.72,237.437,477.344,-495.652,-97.1187,0
288,0,6.73138,5.87684,-70.4102,6837.44,271.924,469.699,-495.138,-97.1092,0
289,0,6.96578,6.17545,-70.0923,6855.41,270.491,499.634,-495.141,-97.8058,0
290,0,6.86741,6.27313,-69.9561,6886.54,258.896,525.217,-495.299,-98.441,0
291,0,6.88712,6.23957,-70.0737,6907.13,286.114,536.144,-494.916,-98.5687,0
292,0,7.08287,6.31364,-70.4646,6971.07,253.693,475.454,-495.4,-98.9303,0
293,0,7.14442,6.14166,-70.4281,6924.82,293.457,466.95,-494.833,-98.3233,0
294,0,7.20212,5.72677,-70.1247,6808.14,292.276,487.46,-494.832,-97.0866,0
295,0,7.09289,5.79008,-70.1558,6796.63,272.452,553.681,-495.117,-96.8805,0
296,0,7.0185,5.96242,-70.0987,6934.11,210.117,518.458,-496.003,-98.9208,0
297,0,6.88657,5.78436,-70.2063,6833.88,245.188,513.712,-495.507,-97.3406,0
298,0,6.78052,6.09559,-70.0406,6880.52,284.419,537.899,-494.938,-98.2346,0
299,0,6.81366,6.1526,-70.3361,6945.45,233.268,591.696,-495.684,-98.7465,0
300,0,6.99859,6.00802,-70.2702,6840.13,237.998,502.756,-495.613,-97.3416,0
301,0,7.09511,6.12359,-70.1801,6934.05,221.802,490.279,-495.84,-98.8043,0
