Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
127,0,0.154786,-0.738707,37.276,-87.5683,-17.0898,-51.1926,0.458706,-2.34981,0,0,0,0,0,0,0,-515,0,0
128,0,0.174582,-0.567251,37.7614,-61.2757,-6.44846,-3.23213,0.172643,-1.62746,0,0,0,0,0,0,0,-515,0,0
129,0,0.266795,-0.473937,36.7128,-99.3398,8.17272,-100.864,-0.226203,-2.72446,0,0,0,0,0,0,0,-515,0,0
130,0,0.386874,-0.583493,39.4772,-74.8177,-31.0049,-115.228,0.751415,-1.9369,0,0,0,0,0,0,0,-515,0,0
131,0,0.356769,-0.595016,38.9516,-67.808,8.12858,-154.86,-0.232873,-1.7463,0,0,0,0,0,0,0,-515,0,0
132,0,0.320711,-0.566061,36.7964,-82.4446,3.97713,-234.742,-0.0977969,-2.24639,0,0,0,0,0,0,0,-515,0,0
133,0,0.349033,-0.426445,35.8108,-107.397,31.6559,-206.211,-0.888664,-3.00174,0,0,0,0,0,0,0,-515,0,0
134,0,0.409925,-0.404036,36.7099,-104.827,30.7816,-213.982,-0.843427,-2.85968,0,0,0,0,0,0,0,-515,0,0
135,0,0.366511,-0.475645,37.1124,-76.8579,1.35142,-164.988,-0.0363957,-2.07093,0,0,0,0,0,0,0,-515,0,0
136,0,0.418394,-0.445437,37.4672,-53.9299,-11.0534,-146.076,0.294698,-1.44078,0,0,0,0,0,0,0,-515,0,0
137,0,0.173049,-0.571012,35.1944,-100.747,-39.6235,-140.359,1.14733,-2.90482,0,0,0,0,0,0,0,-515,0,0
138,0,0.312834,-0.460044,37.6641,-93.953,-22.4315,-53.2776,0.62442,-2.52874,0,0,0,0,0,0,0,-515,0,0
139,0,0.217472,-0.438411,39.8683,-45.9396,-18.3989,-52.4472,0.460137,-1.16087,0,0,0,0,0,0,0,-515,0,0
140,0,-0.0046598,-0.471647,36.9681,-53.8111,-0.6229,-2.03151,-0.000659726,-1.47903,0,0,0,0,0,0,0,-515,0,0
141,0,-0.0690774,-0.478401,35.7952,-100.72,20.5575,10.0158,-0.574026,-2.81298,0,0,0,0,0,0,0,-515,0,0
142,0,0.0930707,-0.35657,36.4661,-100.21,5.18665,-2.26652,-0.146099,-2.75121,0,0,0,0,0,0,0,-515,0,0
143,0,0.177277,-0.242445,35.6584,-104.104,9.65764,-72.9376,-0.274782,-2.92348,0,0,0,0,0,0,0,-515,0,0
144,0,0.19464,-0.386075,35.8157,-88.8534,-10.9935,-98.7365,0.302668,-2.48431,0,0,0,0,0,0,0,-515,0,0
145,0,0.343585,-0.388485,36.2514,-93.538,12.9751,16.3184,-0.355747,-2.57952,0,0,0,0,0,0,0,-515,0,0
146,0,0.262219,-0.485707,35.9761,-88.2223,18.9208,0.921007,-0.525205,-2.45129,0,0,0,0,0,0,0,-515,0,0
147,0,0.0933219,-0.727169,36.604,-103.749,8.6307,-21.7174,-0.237519,-2.83055,0,0,0,0,0,0,0,-515,0,0
148,0,0.413189,-0.535206,37.6927,-41.5579,-36.4971,-9.50045,0.959255,-1.1179,0,0,0,0,0,0,0,-515,0,0
149,0,0.343958,-0.334229,36.4408,-84.8641,-5.91944,-120.176,0.141964,-2.36124,0,0,0,0,0,0,0,-515,0,0
150,0,0.396557,-0.292663,35.3566,-48.6111,-5.6027,-133.009,0.161094,-1.36561,0,0,0,0,0,0,0,-515,0,0
151,0,0.57554,-0.442688,35.6677,-69.4891,-2.57129,-93.0027,0.073591,-1.94151,0,0,0,0,0,0,0,-515,0,0
152,0,0.5919,-0.444686,39.232,-10.662,-39.3635,-53.5284,0.970102,-0.340733,0,0,0,0,0,0,0,-515,0,0
153,0,0.463554,-0.320967,36.45,-24.4951,-36.6536,-118.915,0.989743,-0.723144,0,0,0,0,0,0,0,-515,0,0
154,0,0.475407,-0.35403,35.4423,-70.189,-4.83343,-140.294,0.140724,-1.97548,0,0,0,0,0,0,0,-515,0,0
155,0,0.312578,-0.336267,37.6873,-41.4681,-56.0658,-77.1831,1.45476,-1.12433,0,0,0,0,0,0,0,-515,0,0
156,0,0.345999,-0.189923,36.5786,-33.6554,-43.9602,-54.6324,1.18422,-0.925007,0,0,0,0,0,0,0,-515,0,0
157,0,0.215747,-0.343232,35.6283,-105.978,17.3298,-118.24,-0.489601,-2.97923,0,0,0,0,0,0,0,-515,0,0
158,0,0.380922,-0.195809,37.4523,-89.9219,11.2496,-102.546,-0.313956,-2.42672,0,0,0,0,0,0,0,-515,0,0
159,0,0.262827,-0.150324,37.1257,-84.9986,10.0823,-83.4142,-0.274081,-2.2936,0,0,0,0,0,0,0,-515,0,0
160,0,0.252323,-0.179478,37.0698,-103.586,-15.5689,-172.883,0.417106,-2.79304,0,0,0,0,0,0,0,-515,0,0
161,0,0.292388,-0.0807992,36.2943,-117.478,-40.8745,-137.084,1.1302,-3.23984,0,0,0,0,0,0,0,-515,0,0
162,0,0.441544,-0.286716,35.6682,-105.056,-48.9823,-145.347,1.37353,-2.94413,0,0,0,0,0,0,0,-515,0,0
163,0,0.371701,-0.422267,36.2553,-99.8952,-19.1989,-135.205,0.535982,-2.75553,0,0,0,0,0,0,0,-515,0,0
164,0,0.488222,-0.301192,36.3235,-83.8843,-27.4808,-114.144,0.757747,-2.30844,0,0,0,0,0,0,0,-515,0,0
165,0,0.490223,-0.279166,36.0335,-90.6919,-19.5539,-236.143,0.541672,-2.51774,0,0,0,0,0,0,0,-515,0,0
166,0,0.429327,-0.159753,35.74,-77.8612,-39.5921,-249.663,1.10946,-2.17743,0,0,0,0,0,0,0,-515,0,0
167,0,0.461787,-0.101068,37.2725,-59.5735,-25.957,-199.836,0.70794,-1.60477,0,0,0,0,0,0,0,-515,0,0
168,0,0.390166,-0.0926781,37.1231,-40.8577,-0.0754222,-162.38,-0.00156037,-1.0977,0,0,0,0,0,0,0,-515,0,0
169,0,0.365866,-0.177569,35.0691,-49.8598,-31.7263,-58.9895,0.926014,-1.43092,0,0,0,0,0,0,0,-515,0,0
170,0,0.325703,-0.243164,36.9812,-71.0449,-19.642,41.6312,0.552877,-1.91299,0,0,0,0,0,0,0,-515,0,0
171,0,0.182711,-0.184987,37.2784,-72.9064,-18.23,-107.655,0.49085,-1.95519,0,0,0,0,0,0,0,-515,0,0
