Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
80,0,0.910582,-0.548473,77.206,-146.687,-34.6544,-14.6705,0.443995,-1.89529,0,0,0,0,0,0,0,-515,0,0
81,0,0.783147,-0.615173,74.4659,-98.9159,-16.6328,37.8998,0.22429,-1.32428,0,0,0,0,0,0,0,-515,0,0
82,0,0.627632,-0.725218,75.0165,-138.061,8.28364,9.59059,-0.106735,-1.83379,0,0,0,0,0,0,0,-515,0,0
83,0,0.507232,-0.602983,74.0669,-107.335,-0.816034,-82.2524,0.014343,-1.44123,0,0,0,0,0,0,0,-515,0,0
84,0,0.558801,-0.485962,71.0808,-90.0734,-1.87929,-74.7488,0.0244693,-1.26972,0,0,0,0,0,0,0,-515,0,0
85,0,0.492109,-0.471043,71.0111,-82.7727,30.915,-3.36647,-0.43274,-1.16687,0,0,0,0,0,0,0,-515,0,0
86,0,0.565697,-0.442721,73.1309,-137.825,-10.2551,-40.4258,0.131983,-1.87591,0,0,0,0,0,0,0,-515,0,0
87,0,0.47626,-0.391409,74.8396,-94.0163,-7.69735,-33.4347,0.105171,-1.26215,0,0,0,0,0,0,0,-515,0,0
88,0,0.547909,-0.355056,73.3222,-81.2803,-22.4679,6.17317,0.311579,-1.1129,0,0,0,0,0,0,0,-515,0,0
89,0,0.521982,-0.320435,70.9251,-89.4908,-32.6098,1.43044,0.459332,-1.26162,0,0,0,0,0,0,0,-515,0,0
90,0,0.615121,-0.441107,69.3788,-81.4888,-58.5601,-28.3603,0.846481,-1.17407,0,0,0,0,0,0,0,-515,0,0
91,0,0.637303,-0.458744,68.5061,-111.534,-46.118,-94.7405,0.671969,-1.62972,0,0,0,0,0,0,0,-515,0,0
92,0,0.625102,-0.3954,70.1813,-115.944,-47.4615,-39.9656,0.673855,-1.6549,0,0,0,0,0,0,0,-515,0,0
93,0,0.681408,-0.381568,71.765,-111.396,-56.3491,36.8916,0.78509,-1.55222,0,0,0,0,0,0,0,-515,0,0
94,0,0.673542,-0.668811,76.6677,-173.053,-55.795,-13.7796,0.729673,-2.23731,0,0,0,0,0,0,0,-515,0,0
95,0,0.662142,-0.545068,76.6021,-155.916,-7.40067,-40.5,0.0877454,-2.02751,0,0,0,0,0,0,0,-515,0,0
96,0,0.670159,-0.636305,73.785,-115.88,-30.6665,-37.7741,0.422703,-1.56832,0,0,0,0,0,0,0,-515,0,0
97,0,0.575444,-0.696694,72.229,-140.118,-25.2809,-56.6974,0.348141,-1.94222,0,0,0,0,0,0,0,-515,0,0
