Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
138,0,0.223848,-0.499232,36.0685,-101.225,-2.95342,-115.685,0.0836511,-2.8092,0,0,0,0,0,0,0,-515,0,0
139,0,0.367828,-0.522655,34.9867,-86.0362,1.17733,-185.771,-0.0240912,-2.48015,0,0,0,0,0,0,0,-515,0,0
140,0,0.240101,-0.34757,36.1681,-21.1876,10.3166,-100.695,-0.276939,-0.584707,0,0,0,0,0,0,0,-515,0,0
141,0,0.228359,-0.471123,35.3511,-31.775,-45.0827,-68.9158,1.26547,-0.914857,0,0,0,0,0,0,0,-515,0,0
142,0,0.154037,-0.429785,35.052,-97.3365,-0.631181,-55.4974,0.0219052,-2.78097,0,0,0,0,0,0,0,-515,0,0
143,0,-0.0688476,-0.43294,37.1714,-93.0961,-2.21787,-25.2916,0.0620911,-2.50384,0,0,0,0,0,0,0,-515,0,0
144,0,0.0358667,-0.542565,36.3734,-79.6085,-32.5362,2.63273,0.895551,-2.18477,0,0,0,0,0,0,0,-515,0,0
145,0,0.155397,-0.518364,34.9804,-52.8137,-23.6341,-42.8832,0.676378,-1.51064,0,0,0,0,0,0,0,-515,0,0
146,0,0.352795,-0.518911,35.2913,-38.5567,2.85653,-82.9841,-0.0865076,-1.07735,0,0,0,0,0,0,0,-515,0,0
147,0,0.409033,-0.614353,36.2224,-116.556,-22.5297,-211.22,0.624506,-3.22131,0,0,0,0,0,0,0,-515,0,0
148,0,0.301811,-0.632881,36.6784,-81.2922,-8.97304,-150.373,0.246305,-2.21284,0,0,0,0,0,0,0,-515,0,0
149,0,0.264572,-0.410091,35.8475,-57.4243,-27.5991,-157.794,0.772444,-1.61481,0,0,0,0,0,0,0,-515,0,0
150,0,0.145267,-0.442463,34.7712,-85.2385,-23.9152,-151.371,0.693962,-2.45842,0,0,0,0,0,0,0,-515,0,0
151,0,0.26892,-0.363401,35.2953,-47.1817,8.58464,-137.707,-0.241542,-1.33781,0,0,0,0,0,0,0,-515,0,0
152,0,0.20127,-0.192328,34.6118,-57.6294,-0.122783,-110.921,0.00152778,-1.66647,0,0,0,0,0,0,0,-515,0,0
153,0,0.144938,-0.143483,34.3545,-68.7971,-1.26437,-83.5751,0.0246506,-2.00212,0,0,0,0,0,0,0,-515,0,0
154,0,0.147558,-0.303752,35.1392,-79.2404,-43.765,-82.9265,1.24193,-2.25712,0,0,0,0,0,0,0,-515,0,0
155,0,0.314343,-0.457953,35.4009,-75.5182,-6.21688,-23.7712,0.172273,-2.17717,0,0,0,0,0,0,0,-515,0,0
156,0,0.445715,-0.242262,37.5068,2.85424,-22.387,-64.05,0.596861,0.0761162,0,0,0,0,0,0,0,-515,0,0
157,0,0.436717,-0.243779,36.9906,-28.0034,-41.4627,-42.2866,1.10776,-0.763431,0,0,0,0,0,0,0,-515,0,0
158,0,0.330512,-0.313228,35.261,-49.9618,-3.88565,-0.167735,0.110215,-1.41686,0,0,0,0,0,0,0,-515,0,0
159,0,0.480088,-0.203455,35.5176,-78.8236,7.89488,-85.2773,-0.219389,-2.21611,0,0,0,0,0,0,0,-515,0,0
160,0,0.481632,-0.288517,36.0718,-87.776,-2.79956,-156.106,0.0958084,-2.42723,0,0,0,0,0,0,0,-515,0,0
161,0,0.494852,-0.163742,35.0841,-55.4342,-75.6469,-77.8108,2.15273,-1.57986,0,0,0,0,0,0,0,-515,0,0
162,0,0.371784,-0.0845191,34.7333,-59.4021,-17.1134,-140.04,0.491222,-1.71108,0,0,0,0,0,0,0,-515,0,0
163,0,0.445606,-0.0612672,35.3275,-66.5713,0.922687,-127.458,-0.0690899,-1.91712,0,0,0,0,0,0,0,-515,0,0
164,0,0.606614,-0.426608,37.0239,-50.8495,-51.4564,-227.096,1.34474,-1.4512,0,0,0,0,0,0,0,-515,0,0
165,0,0.422997,-0.551962,34.3424,-157.941,2.69224,-166.333,-0.0752278,-4.59667,0,0,0,0,0,0,0,-515,0,0
166,0,0.280539,-0.468477,34.589,-99.4471,-73.3299,-106.749,2.12592,-2.87488,0,0,0,0,0,0,0,-515,0,0
167,0,0.227778,-0.572445,35.5988,-107.56,-48.5395,-94.4966,1.35514,-3.02562,0,0,0,0,0,0,0,-515,0,0
168,0,0.173347,-0.561657,34.5387,-99.2022,-9.68286,-99.8501,0.281625,-2.87622,0,0,0,0,0,0,0,-515,0,0
169,0,0.367091,-0.517507,34.9092,-39.578,6.78654,14.0382,-0.196401,-1.13066,0,0,0,0,0,0,0,-515,0,0
170,0,0.483788,-0.498328,35.4105,-91.8831,-11.842,-193.904,0.334344,-2.59193,0,0,0,0,0,0,0,-515,0,0
171,0,0.503087,-0.464046,35.7624,-144.465,-29.7791,-85.905,0.824603,-4.05433,0,0,0,0,0,0,0,-515,0,0
172,0,0.392264,-0.524077,36.7001,-59.1226,-65.262,47.0936,1.79002,-1.60628,0,0,0,0,0,0,0,-515,0,0
173,0,0.280887,-0.487124,37.1927,-84.4843,-9.83415,11.1281,0.268002,-2.27228,0,0,0,0,0,0,0,-515,0,0
174,0,0.26265,-0.529274,36.0174,-84.9082,-18.0861,-74.6827,0.503754,-2.35716,0,0,0,0,0,0,0,-515,0,0
175,0,0.352244,-0.61571,36.4878,-89.139,-2.42742,-51.6856,0.0650914,-2.44339,0,0,0,0,0,0,0,-515,0,0
176,0,0.357223,-0.706314,35.6589,-103.915,0.20085,-88.0247,0.00636268,-2.92752,0,0,0,0,0,0,0,-515,0,0
177,0,0.300423,-0.706574,34.4241,-135.267,-39.3834,-182.684,1.14401,-3.93056,0,0,0,0,0,0,0,-515,0,0
178,0,0.348545,-0.622327,34.5328,-105.485,-33.5905,-194.409,0.971805,-3.05454,0,0,0,0,0,0,0,-515,0,0
179,0,0.457754,-0.518252,34.79,-94.827,-2.07329,-205.914,0.066762,-2.7353,0,0,0,0,0,0,0,-515,0,0
180,0,0.598078,-0.480004,36.1057,-68.4276,11.7468,-167.754,-0.324396,-1.89515,0,0,0,0,0,0,0,-515,0,0
181,0,0.502525,-0.433635,35.6396,-65.58,-4.89348,-187.483,0.127915,-1.83961,0,0,0,0,0,0,0,-515,0,0
182,0,0.262708,-0.491885,34.8628,-69.0162,24.3664,-141.346,-0.705283,-1.97435,0,0,0,0,0,0,0,-515,0,0
183,0,0.246257,-0.743104,35.2587,-83.729,-5.1981,-106.419,0.152379,-2.3606,0,0,0,0,0,0,0,-515,0,0
184,0,0.155917,-0.657791,33.6573,-59.4211,-7.76104,-132.308,0.23831,-1.75635,0,0,0,0,0,0,0,-515,0,0
185,0,0.24254,-0.655792,34.9747,-84.3994,8.33702,-114.393,-0.241061,-2.41534,0,0,0,0,0,0,0,-515,0,0
186,0,0.276182,-0.38979,35.1556,-65.7123,-19.4766,-68.8242,0.553072,-1.87183,0,0,0,0,0,0,0,-515,0,0
187,0,0.539056,-0.428012,35.2042,-83.0364,-26.8538,-122.887,0.738582,-2.35786,0,0,0,0,0,0,0,-515,0,0
