Devices
200
,,AMTI Accu     #1 - Force,,,AMTI Accu     #1 - Moment,,,AMTI Accu     #1 - CoP,,,AMTI Accu     #2 - Force,,,AMTI Accu     #2 - Moment,,,AMTI Accu     #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
94,0,0.644981,-0.250376,36.0017,-139.881,6.42443,-214.962,-0.16216,-3.88051,0,0,0,0,0,0,0,-515,0,0
95,0,0.687678,-0.450144,42.7649,-56.6766,-22.6872,-255.349,0.455007,-1.46541,0,0,0,0,0,0,0,-515,0,0
96,0,0.547292,-0.326406,40.8863,-26.3553,-104.511,-226.461,2.6143,-0.648181,0,0,0,0,0,0,0,-515,0,0
97,0,0.543843,-0.274266,37.1443,-78.6088,-18.0033,-156.47,0.4251,-2.14787,0,0,0,0,0,0,0,-515,0,0
98,0,0.553438,-0.310088,38.2239,-99.0059,-8.10914,-103.805,0.199687,-2.59124,0,0,0,0,0,0,0,-515,0,0
99,0,0.50816,-0.336974,38.3659,-60.2907,-29.2647,-59.8892,0.76421,-1.56686,0,0,0,0,0,0,0,-515,0,0
100,0,0.449782,-0.237171,37.1771,-94.1604,8.41153,-146.704,-0.236722,-2.54527,0,0,0,0,0,0,0,-515,0,0
101,0,0.585761,-0.219369,36.7624,-99.4492,17.7263,-197.003,-0.482103,-2.70501,0,0,0,0,0,0,0,-515,0,0
102,0,0.492609,-0.494377,36.3676,-90.4786,-16.8158,-157.988,0.465583,-2.48749,0,0,0,0,0,0,0,-515,0,0
103,0,0.332532,-0.469273,36.089,-83.4223,1.7446,-183.233,-0.0495301,-2.31138,0,0,0,0,0,0,0,-515,0,0
104,0,0.491367,-0.558886,35.3239,-113.64,-20.3353,-140.622,0.582126,-3.22382,0,0,0,0,0,0,0,-515,0,0
105,0,0.38724,-0.253806,36.227,-85.4259,11.233,-104.27,-0.296844,-2.37117,0,0,0,0,0,0,0,-515,0,0
106,0,0.114967,-0.220191,35.4574,-98.3941,-5.56056,-29.6684,0.166918,-2.78446,0,0,0,0,0,0,0,-515,0,0
