currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,GRF,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Weight
15539,792.39,763.56,755.84,761,768.2,-41.5,-792.48,665.53,1.45,-1.66,0.38,-30.62,3109,0,22.2709,3.08619,-283.207,16943.3,-24105.6,-2626.65,-583.116,-59.8265,0,56
15575,792.62,763.55,755.8,761.12,768.27,-41.02,-774.9,684.08,0.74,2.15,0.08,-34.04,3116,0,21.5325,2.71876,-281.347,17312,-24030.6,-2467.08,-583.413,-61.5327,0,56
15611,792.88,763.66,755.76,761.15,768.36,-55.66,-778.32,668.46,0.51,-0.16,0.42,-37.07,3123,0,20.6393,2.07497,-280.682,17330.9,-24116.9,-2544.48,-583.922,-61.7455,0,56
15647,793.7,763.69,755.78,761.29,768.62,-41.99,-780.76,661.13,0,0.36,1.44,-41.94,3130,0,20.673,2.09602,-282.1,17448.3,-24072.6,-2469.22,-583.334,-61.8514,0,56
15683,794.63,763.72,755.78,761.27,768.85,-48.83,-771.97,672.36,-1.27,1.33,-3.39,-44.98,3138,0,21.5568,2.53889,-287.602,17661.9,-24474.9,-2373.06,-583.1,-61.4107,0,56
15721,795.81,763.92,755.76,761.16,769.16,-46.88,-773.44,675.78,0.13,-1,-0.76,-49.69,3145,0,21.6944,2.72404,-295.275,18200.1,-25055.8,-2351.92,-582.856,-61.6375,0,56
15757,796.32,763.93,755.75,760.97,769.24,-45.9,-768.07,670.9,-0.05,-1.56,0.36,-48.84,3152,0,22.5369,2.73317,-303.433,18696.7,-25698.5,-2188.1,-582.692,-61.6173,0,56
15793,796.69,763.92,755.79,760.75,769.29,-50.29,-769.53,668.46,0.71,2.98,-1.5,-45.64,3160,0,22.9547,3.36669,-308.249,19186.8,-25997.9,-2087.57,-582.341,-62.2444,0,56
15829,796.57,763.85,755.7,760.73,769.21,-39.55,-779.79,666.02,-0.21,-0.6,-1.27,-46.85,3167,0,22.3712,3.1971,-307.673,19493.6,-25942.9,-1976.34,-582.32,-63.3581,0,56
15865,796.38,763.98,755.82,760.59,769.19,-50.29,-770.51,677.73,-1.01,0.13,-0.7,-42.13,3174,0,22.0287,1.95208,-305.005,19486.6,-25701.7,-2049.84,-582.267,-63.8897,0,56
15901,796.49,764.07,755.83,760.39,769.19,-43.46,-781.25,690.92,-0.93,1.98,2.99,-39.94,3181,0,20.9254,1.19121,-300.946,19327.2,-25348.1,-2082.88,-582.228,-64.2213,0,56
