currTime,s1,s2,s3,s4,s,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Frame,SubFrame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
4442,0,0,0,0,0,-39.55,-839.84,586.91,0.2,3.55,-3.21,888,0,0,0,0,0,0,0,0,0,0
4473,0,0,0,0,0,-30.76,-829.59,590.33,-3.03,6.36,-4.29,895,0,0,0,0,0,0,0,0,0,0
4504,0,0,0,0,0,-37.6,-857.42,559.08,-4.7,2.08,-2.4,901,0,0,0,0,0,0,0,0,0,0
4535,0,0,0,0,0,-41.02,-844.24,559.57,-5.21,-2.01,-0.73,907,0,0,0,0,0,0,0,0,0,0
4566,0,0,0,0,0,-48.83,-837.89,582.03,-24.04,7.82,-3.59,913,0,0,0,0,0,0,0,0,0,0
4597,0,0,0,0,0,-80.08,-886.23,524.41,-27.22,8.64,-6.94,919,0,0,0,0,0,0,0,0,0,0
4628,0,0,0,0,0,-93.26,-985.84,440.43,-29.6,-6.26,-6.77,926,0,0,0,0,0,0,0,0,0,0
4659,0,0,0,0,0,-106.93,-1264.16,573.73,32.34,-10,-33.25,932,0,0,0,0,0,0,0,0,0,0
4690,0,0,0,0,0,-313.96,-1155.27,799.32,-24.69,17.87,-52.16,938,0,0,0,0,0,0,0,0,0,0
4721,0,0,0,0,0,-376.46,-2000,532.23,101.39,-18.18,-70.27,944,0,0,0,0,0,0,0,0,0,0
4752,0,0,0,0,0,-288.09,-1455.57,-196.29,250.13,-129.79,31.17,950,0,0,0,0,0,0,0,0,0,0
4783,0,0,0,0,0,-467.29,-1217.77,-206.54,-12.79,-250.14,184.19,957,0,0,0,0,0,0,0,0,0,0
4814,0,0,0,0,0,-334.47,-1179.2,-189.94,8.47,-250.14,206.63,963,0,0,0,0,0,0,0,0,0,0
4845,0,0,0,0,0,152.83,-745.61,65.92,-68.67,-250.14,184.47,969,0,0,0,0,0,0,0,0,0,0
4875,0,0,0,0,0,138.18,-1468.75,442.38,-83.57,-190.49,145.08,975,0,0,0,0,0,0,0,0,0,0
4906,0,0,0,0,0,64.94,-1287.11,445.8,26.01,-140.8,119.25,981,0,0,0,0,0,0,0,0,0,0
4936,0,0,0,0,0,-23.44,-1105.96,161.13,29.18,-109.02,125.86,987,0,0,0,0,0,0,0,0,0,0
4967,0,0,0,0,0,-110.84,-1100.59,47.85,8.25,-119.85,127.73,993,0,0,0,0,0,0,0,0,0,0
4997,0,0,0,0,0,-29.3,-875.49,-60.55,-47.17,-142.24,122.99,999,0,0,0,0,0,0,0,0,0,0
5027,0,0,0,0,0,67.87,-918.46,-32.71,-92.55,-128,132.56,1005,0,0,0,0,0,0,0,0,0,0
5058,0,0,0,0,0,176.76,-833.5,9.77,-71.19,-82.44,127.63,1012,0,0,0,0,0,0,0,0,0,0
5089,0,0,0,0,0,150.88,-714.36,52.73,-50.1,-10.69,107,1018,0,0,0,0,0,0,0,0,0,0
5120,0,0,0,0,0,41.5,-634.28,61.04,-22.31,2.04,65.88,1024,0,0,0,0,0,0,0,0,0,0
5150,0,0,0,0,0,17.58,-750.49,183.59,-23.31,-20.27,46.06,1030,0,0,0,0,0,0,0,0,0,0
5181,0,0,0,0,0,145.51,-683.11,304.69,-69.79,4.99,117.27,1036,0,0,0,0,0,0,0,0,0,0
5212,0,0,0,0,0,157.23,-880.86,506.84,-107.83,54.73,132.42,1042,0,0,0,0,0,0,0,0,0,0
5242,0,0,0,0,0,94.24,-1060.06,548.83,-25.45,66.67,62.05,1048,0,0,0,0,0,0,0,0,0,0
5273,0,0,0,0,0,131.35,-1244.63,567.38,-1.07,80.95,17.95,1055,0,0,0,0,0,0,0,0,0,0
5304,0,0,0,0,0,313.96,-1344.73,674.32,-14.6,101.19,45.18,1061,0,0,0,0,0,0,0,0,0,0
5335,0,0,0,0,0,517.09,-1137.21,724.12,-63.08,139.67,73.42,1067,0,0,0,0,0,0,0,0,0,0
5366,0,0,0,0,0,590.82,-1166.99,735.35,-53.82,150.57,30.59,1073,0,0,0,0,0,0,0,0,0,0
5397,0,0,0,0,0,633.79,-940.43,807.62,-25.61,136.28,-49.02,1079,0,0,0,0,0,0,0,0,0,0
5428,0,0,0,0,0,123.05,-2000,73.73,250.13,-35.63,-68.92,1086,0,0,0,0,0,0,0,0,0,0
5459,0,0,0,0,0,-809.57,-375.98,769.53,250.13,-17.01,-79.76,1092,0,0,0,0,0,0,0,0,0,0
5490,0,0,0,0,0,105.47,446.29,1304.2,120.7,-183.12,-118.13,1098,0,0,0,0,0,0,0,0,0,0
5521,0,0,0,0,0,1269.53,-2000,524.9,250.13,-54.88,-120.5,1104,0,0,0,0,0,0,0,0,0,0
5552,0,0,0,0,0,-397.95,-895.51,792.97,52.11,-123.54,-28.03,1110,0,0,0,0,0,0,0,0,0,0
5583,0,0,0,0,0,360.84,-990.72,791.5,93.61,17.82,-5.59,1117,0,0,0,0,0,0,0,0,0,0
5614,0,0,0,0,0,111.33,-891.6,674.32,40.23,-27.61,2.29,1123,0,0,0,0,0,0,0,0,0,0
5645,0,0,0,0,0,-55.18,-746.09,700.68,10.62,-15.53,4.56,1129,0,0,0,0,0,0,0,0,0,0
5676,0,0,0,0,0,-50.29,-840.33,593.26,12.78,7.72,-2.08,1135,0,0,0,0,0,0,0,0,0,0
5707,0,0,0,0,0,4.39,-883.3,570.31,7.47,-0.89,-0.53,1141,0,0,0,0,0,0,0,0,0,0
5738,0,0,0,0,0,-18.07,-828.61,598.63,3.79,-7.18,5.12,1148,0,0,0,0,0,0,0,0,0,0
5769,0,0,0,0,0,-41.99,-814.94,598.14,5,0.11,2.25,1154,0,0,0,0,0,0,0,0,0,0
5800,0,0,0,0,0,-30.76,-836.43,593.75,4.52,3.1,-0.81,1160,0,0,0,0,0,0,0,0,0,0
5831,0,0,0,0,0,-26.86,-865.23,579.1,11.05,-4.91,2.48,1166,0,0,0,0,0,0,0,0,0,0
5862,0,0,0,0,0,-26.37,-821.78,603.52,5.36,-1.03,1.89,1172,0,0,0,0,0,0,0,0,0,0
5893,0,0,0,0,0,-49.8,-816.89,624.02,1.26,2.78,1.73,1179,0,0,0,0,0,0,0,0,0,0
5924,0,0,0,0,0,-24.9,-825.2,609.86,2.2,-2.35,-0.15,1185,0,0,0,0,0,0,0,0,0,0
5955,0,0,0,0,0,-49.8,-806.15,620.61,4.6,5.15,-4.99,1191,0,0,0,0,0,0,0,0,0,0
5986,0,0,0,0,0,-20.02,-826.17,602.54,9.88,0.53,-3.18,1197,0,0,0,0,0,0,0,0,0,0
6017,0,0,0,0,0,-44.92,-823.24,621.09,7.02,-2.2,-3.89,1203,0,0,0,0,0,0,0,0,0,0
6048,0,0,0,0,0,-11.23,-808.59,644.04,11.29,-4.01,-3.4,1210,0,0,0,0,0,0,0,0,0,0
6079,0,0,0,0,0,-35.16,-805.18,630.37,-1.15,3.44,-4.6,1216,0,0,0,0,0,0,0,0,0,0
6110,0,0,0,0,0,-20.02,-805.18,617.19,-6.32,5.31,-4.37,1222,0,0,0,0,0,0,0,0,0,0
